날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,연환산변동성,고점대비하락률
2010-01-04,1133.0,1116.6,1133.9,1116.6,,1.61,0.016052371984575542,-0.22141286421110296,0.11346138028282615,-0.27613084589828774
2010-01-05,1136.5,1132.7,1136.6,1129.7,,0.31,0.0030891438658429138,-0.2190076965365565,0.10830280405989542,-0.27389470994122156
2010-01-06,1137.1,1135.7,1139.2,1134.0,,0.05,0.0005279366476023117,-0.21859538207806284,0.10737980705314229,-0.2735113723485817
2010-01-07,1141.7,1136.3,1142.5,1131.3,,0.4,0.004045378594670801,-0.21543430456294455,0.10680491941431744,-0.2705724508050089
2010-01-08,1145.0,1140.5,1145.4,1136.2,,0.29,0.002890426556888759,-0.21316657504122938,0.09766733598128154,-0.26846409404548943
2010-01-11,1147.0,1146.0,1149.7,1142.0,,0.17,0.0017467248908296096,-0.21179219351291723,0.09753333822460948,-0.26718630207002303
2010-01-12,1136.2,1143.8,1143.8,1131.8,,-0.94,-0.009415867480383588,-0.21921385376580338,0.10445554160121896,-0.2740863787375415
2010-01-13,1145.7,1137.3,1148.4,1133.2,,0.84,0.008361204013378032,-0.21268554150632002,0.10692673699488799,-0.2680168668540761
2010-01-14,1148.5,1145.7,1150.4,1143.8,,0.24,0.0024439207471413926,-0.21076140736668292,0.1052512341236622,-0.26622795808842326
2010-01-15,1136.0,1147.7,1147.8,1131.4,,-1.09,-0.010883761427949445,-0.21935129191863456,0.11117651026895416,-0.2742141579350882
2010-01-19,1150.2,1136.0,1150.5,1135.8,,1.25,0.012499999999999956,-0.20959318306761754,0.11784453710815448,-0.2651418349092768
2010-01-20,1138.0,1148.0,1148.0,1129.2,,-1.06,-0.010606850982437854,-0.2179769103903224,0.11616058343249284,-0.2729363659596218
2010-01-21,1116.5,1138.7,1141.6,1114.8,,-1.89,-0.018892794376098365,-0.23275151181967924,0.13536746884526873,-0.2866726296958856
2010-01-22,1091.8,1115.5,1115.5,1090.2,,-2.21,-0.022122704881325617,-0.24972512369433575,0.15167650432196228,-0.3024533605928955
2010-01-25,1096.8,1092.4,1103.0,1092.4,,0.46,0.0045795933321122195,-0.24628916987355498,0.1520847420800685,-0.29925888065422956
2010-01-26,1092.2,1095.8,1103.7,1089.9,,-0.42,-0.004194018964259527,-0.24945024738867305,0.15203702452911846,-0.30219780219780223
2010-01-27,1097.5,1091.9,1099.5,1083.1,,0.49,0.004852591100531045,-0.2458081363386455,0.151823364378878,-0.29881165346281624
2010-01-28,1084.5,1096.9,1100.2,1078.5,,-1.18,-0.011845102505694816,-0.2547416162726752,0.15590953062785326,-0.3071173013033478
2010-01-29,1073.9,1087.6,1096.5,1071.6,,-0.98,-0.0097740894421392,-0.2620258383727302,0.15830915696252104,-0.3138895987733197
2010-02-01,1089.2,1073.9,1089.4,1073.9,,1.42,0.014247136604897959,-0.25151181968114145,0.1681822380752599,-0.3041144901610018
2010-02-02,1103.3,1090.0,1104.7,1088.0,,1.29,0.012945280940139359,-0.24182242990654013,0.17235469293098554,-0.29510605673396373
2010-02-03,1097.3,1100.7,1102.7,1094.0,,-0.54,-0.005438230762258689,-0.24594557449147691,0.162207044501219,-0.29893943266036294
2010-02-04,1063.1,1097.2,1097.2,1062.8,,-3.12,-0.03116741091770714,-0.2694474986256167,0.19093053256422232,-0.32078967544083836
2010-02-05,1066.2,1064.1,1067.1,1044.5,,0.29,0.0029160003762582765,-0.2673172072567326,0.19168076896052963,-0.31880909787886536
2010-02-08,1056.7,1065.5,1071.2,1056.5,,-0.89,-0.008910148189833045,-0.27384551951621583,0.1909408521479882,-0.32487860976233063
2010-02-09,1070.5,1060.1,1079.3,1060.1,,1.31,0.013059524936121836,-0.2643622869708613,0.19840522195778132,-0.3160618451316126
2010-02-10,1068.1,1069.7,1073.7,1059.3,,-0.22,-0.0022419430172817556,-0.26601154480483613,0.19765118652729796,-0.3175951955021723
2010-02-11,1078.5,1067.1,1080.0,1060.6,,0.97,0.009736916019099429,-0.25886476085761234,0.20130257882559865,-0.310950677229747
2010-02-12,1075.5,1076.0,1077.8,1063.0,,-0.28,-0.0027816411682892728,-0.26092633315008074,0.19746005897298366,-0.31286736519294656
2010-02-16,1094.9,1079.1,1095.7,1079.1,,1.8,0.018038121803812368,-0.24759483232545165,0.20981260163641757,-0.3004727830309225
2010-02-17,1099.5,1096.1,1101.0,1094.7,,0.42,0.004201296922093256,-0.24443375481033347,0.20843954014884641,-0.29753386148734984
2010-02-18,1106.8,1099.0,1108.2,1097.5,,0.66,0.006639381537062228,-0.23941726223199378,0.20444023153977003,-0.29286992077689755
2010-02-19,1109.2,1105.5,1112.4,1100.8,,0.22,0.0021684134441635194,-0.23776800439801893,0.20224512644035098,-0.29133657040633787
2010-02-22,1108.0,1110.0,1112.3,1105.4,,-0.11,-0.0010818608005770392,-0.23859263331500635,0.19168384216583706,-0.2921032455916177
2010-02-23,1094.6,1107.5,1108.6,1092.2,,-1.21,-0.012093862815884537,-0.24780098955469854,0.1800914071809015,-0.30066445182724255
2010-02-24,1105.2,1095.9,1106.4,1095.5,,0.97,0.009683902795541766,-0.24051676745464357,0.18251304328348938,-0.2938921543572707
2010-02-25,1102.9,1101.2,1103.5,1086.0,,-0.21,-0.0020810712993123426,-0.2420973062122027,0.18198502840199046,-0.2953616151290569
2010-02-26,1104.5,1103.1,1107.2,1097.6,,0.15,0.0014507208269107785,-0.24099780098955292,0.18134670671648948,-0.2943393815486839
2010-03-01,1115.7,1105.4,1116.1,1105.4,,1.01,0.010140334993209654,-0.23330126443100418,0.1786672169532264,-0.28718374648607203
2010-03-02,1118.3,1117.0,1123.5,1116.5,,0.23,0.0023303755489825217,-0.23151456844419838,0.1739770126580948,-0.28552261691796577
2010-03-03,1118.8,1119.4,1125.6,1116.6,,0.04,0.00044710721631036066,-0.23117097306212042,0.16819709706252092,-0.28520316892409925
2010-03-04,1123.0,1119.1,1123.7,1116.7,,0.38,0.0037540221666070295,-0.22828477185266471,0.16313807157080662,-0.28251980577561975
2010-03-05,1138.7,1125.1,1139.4,1125.1,,1.4,0.013980409617097012,-0.2174958768554135,0.16745283648812395,-0.27248913876820857
2010-03-08,1138.5,1138.4,1141.0,1136.8,,-0.02,-0.00017563888644944736,-0.21763331500824468,0.11749286852086101,-0.27261691796575516
2010-03-09,1140.5,1137.6,1145.4,1134.9,,0.18,0.0017566974088714105,-0.2162589334799323,0.11760847694649758,-0.27133912599028875
2010-03-10,1145.6,1140.2,1148.3,1140.1,,0.45,0.004471722928540034,-0.21275426058273605,0.10901211139796932,-0.26808075645284957
2010-03-11,1150.2,1144.0,1150.2,1139.0,,0.4,0.004015363128491822,-0.20959318306761765,0.10378937519792825,-0.2651418349092768
2010-03-12,1150.0,1151.7,1153.4,1147.0,,-0.02,-0.00017388280299079906,-0.20973062122044894,0.10260188599145072,-0.2652696141068235
2010-03-15,1150.5,1148.5,1151.0,1141.5,,0.04,0.00043478260869567187,-0.20938702583837088,0.10056753986065257,-0.26495016611295685
2010-03-16,1159.5,1150.8,1160.3,1150.3,,0.78,0.007822685788787531,-0.2032023089609657,0.09945446951410883,-0.2592001022233581
2010-03-17,1166.2,1159.9,1169.8,1159.9,,0.58,0.005778352738249337,-0.19859813084111955,0.08506532966170165,-0.25491949910554557
2010-03-18,1165.8,1166.1,1167.8,1161.2,,-0.03,-0.0003429943405934832,-0.19887300714678213,0.08572577400199305,-0.25517505750063896
2010-03-19,1159.9,1166.7,1169.2,1155.3,,-0.51,-0.0050609023846284185,-0.20292743265530322,0.08866449028891757,-0.2589445438282647
2010-03-22,1165.8,1157.2,1167.8,1152.9,,0.51,0.005086645400465439,-0.19887300714678213,0.08920579362421786,-0.25517505750063896
2010-03-23,1174.2,1166.5,1174.7,1163.8,,0.72,0.0072053525476067914,-0.1931006047278706,0.08976202472689966,-0.24980833120368007
2010-03-24,1167.7,1172.7,1173.0,1166.0,,-0.55,-0.0055356838698688016,-0.19756734469488546,0.07819717204626123,-0.2539611551239458
2010-03-25,1165.7,1170.0,1180.7,1165.1,,-0.17,-0.00171276869058834,-0.19894172622319772,0.07603294180807636,-0.2552389470994122
2010-03-26,1166.6,1167.6,1173.9,1161.5,,0.08,0.0007720682851504179,-0.1983232545354573,0.07446865536970697,-0.2546639407104524
2010-03-29,1173.2,1167.7,1174.8,1167.7,,0.57,0.005657466140922551,-0.19378779549202663,0.07501195549807121,-0.2504472271914132
2010-03-30,1173.3,1173.8,1177.8,1168.9,,0.01,8.523695874518289e-05,-0.19371907641561115,0.07072791367724716,-0.25038333759264
2010-03-31,1169.4,1171.8,1174.6,1165.8,,-0.33,-0.0033239580669903734,-0.19639912039581997,0.07346665299162092,-0.2528750319447993
2010-04-01,1178.1,1171.2,1181.4,1170.7,,0.74,0.007439712673165566,-0.19042056074766178,0.07540410571910616,-0.2473166368515206
2010-04-05,1187.4,1178.7,1187.7,1178.7,,0.79,0.007894066717596182,-0.18402968664100972,0.07762150676141713,-0.2413749041656018
2010-04-06,1189.4,1186.0,1191.8,1182.8,,0.17,0.0016843523665150961,-0.18265530511269745,0.06583945363897356,-0.2400971121901354
2010-04-07,1182.5,1188.2,1189.6,1177.2,,-0.58,-0.005801244324869725,-0.18739692138537478,0.07095801758565377,-0.24450549450549453
2010-04-08,1186.4,1181.8,1188.5,1175.1,,0.33,0.0032980972515856966,-0.18471687740516585,0.07114222472059513,-0.24201380015333496
2010-04-09,1194.4,1187.5,1194.7,1187.2,,0.67,0.006743088334457248,-0.1792193512919168,0.07260087377107413,-0.23690263225146946
2010-04-12,1196.5,1194.9,1199.2,1194.7,,0.18,0.001758204956463505,-0.17777625068718894,0.07223085809348814,-0.23556095067722982
2010-04-13,1197.3,1195.9,1199.0,1188.8,,0.07,0.0006686167989971015,-0.177226498075864,0.07198595258134707,-0.23504983388704326
2010-04-14,1210.7,1198.7,1210.7,1198.7,,1.12,0.01119184832539899,-0.1680181418361717,0.07851723966670478,-0.2264886276514183
2010-04-15,1211.7,1210.8,1213.9,1208.5,,0.08,0.0008259684480051988,-0.16733095107201568,0.07618344993337782,-0.22584973166368516
2010-04-16,1192.1,1210.2,1210.2,1186.8,,-1.62,-0.016175621028307496,-0.18079989004947594,0.09776605670720188,-0.2383720930232559
2010-04-19,1197.5,1192.1,1197.9,1183.7,,0.45,0.0045298213237146,-0.1770890599230327,0.09833759596962743,-0.23492205468949656
2010-04-20,1207.2,1199.0,1208.6,1199.0,,0.81,0.008100208768267336,-0.17042330951071816,0.09818504860545653,-0.22872476360848448
2010-04-21,1205.9,1207.2,1211.0,1198.8,,-0.11,-0.0010768721007289317,-0.17131665750412106,0.09800435923372121,-0.22955532839253767
2010-04-22,1208.7,1202.5,1210.3,1190.2,,0.23,0.0023219172402355603,-0.16939252336448385,0.09594217298909007,-0.2277664196268847
2010-04-23,1217.3,1207.9,1217.3,1205.1,,0.71,0.007115082319847588,-0.16348268279274125,0.09442009373346993,-0.22227191413237934
2010-04-26,1212.0,1217.1,1219.8,1211.1,,-0.44,-0.004353897970919229,-0.16712479384276868,0.0961558873961672,-0.22565806286736523
2010-04-27,1183.7,1209.9,1211.4,1181.6,,-2.33,-0.023349834983498297,-0.18657229246838714,0.1299930283238082,-0.24373881932021468
2010-04-28,1191.4,1184.6,1195.0,1181.8,,0.65,0.006505026611472564,-0.18128092358438486,0.1304306349346667,-0.238819320214669
2010-04-29,1206.8,1193.3,1209.4,1193.3,,1.29,0.012925969447708408,-0.17069818581638052,0.13700574066542243,-0.22898032200357787
2010-04-30,1186.7,1206.8,1208.0,1186.3,,-1.67,-0.016655618163738728,-0.18451072017591874,0.14994249378034774,-0.24182213135701502
2010-05-03,1202.3,1188.6,1205.1,1188.6,,1.31,0.013145698154546137,-0.1737905442550831,0.15439065120391784,-0.2318553539483773
2010-05-04,1173.6,1197.5,1197.5,1168.1,,-2.39,-0.02387091408134412,-0.19351291918636415,0.1744629932406526,-0.25019166879632004
2010-05-05,1165.9,1169.2,1176.0,1158.2,,-0.66,-0.006561008861622253,-0.19880428807036632,0.17549812563093492,-0.2551111679018655
2010-05-06,1128.2,1164.4,1167.6,1065.8,,-3.23,-0.03233553477999829,-0.22471137987905243,0.20623185256711726,-0.2791975466394071
2010-05-07,1110.9,1127.0,1135.1,1094.2,,-1.53,-0.015334160609820957,-0.23659978009895355,0.21008859594766013,-0.2902504472271914
2010-05-10,1159.7,1122.3,1163.8,1122.3,,4.39,0.04392834638581333,-0.2030648708081343,0.26438501801062886,-0.2590723230258114
2010-05-11,1155.8,1156.4,1170.5,1147.7,,-0.34,-0.003362938691040873,-0.20574491478834322,0.2642407771230662,-0.26156401737797097
2010-05-12,1171.7,1155.4,1172.9,1155.4,,1.38,0.013756705312337747,-0.1948185816382607,0.2694420357977782,-0.251405571173013
2010-05-13,1157.4,1170.0,1173.6,1156.1,,-1.22,-0.01220448920372108,-0.20464540956569344,0.26840873137264865,-0.26054178379759774
2010-05-14,1135.7,1157.2,1157.2,1126.1,,-1.87,-0.01874891999308803,-0.21955744914788156,0.27430709974809364,-0.2744058267314081
2010-05-17,1136.9,1136.5,1141.9,1115.0,,0.11,0.0010566170643655504,-0.21873282023089424,0.270294985867751,-0.2736391515461283
2010-05-18,1120.8,1138.8,1148.7,1117.2,,-1.42,-0.01416131585891467,-0.22979659153380805,0.27225108730882736,-0.28392537694863285
2010-05-19,1115.0,1119.6,1124.3,1100.7,,-0.52,-0.005174875089221986,-0.23378229796591365,0.26929438296592223,-0.28763097367748536
2010-05-20,1071.6,1107.3,1107.3,1071.6,,-3.89,-0.03892376681614362,-0.2636063771302899,0.29540443152198115,-0.3153590595451061
2010-05-21,1087.7,1067.3,1090.2,1055.9,,1.5,0.015024262784621323,-0.2525426058273761,0.3027956320673129,-0.30507283414260156
2010-05-24,1073.7,1084.8,1090.0,1072.7,,-1.29,-0.012871196101866378,-0.26216327652556193,0.3007637486159074,-0.3140173779708664
2010-05-25,1074.0,1067.4,1074.8,1040.8,,0.03,0.0002794076557697256,-0.26195711929631516,0.30146971109142445,-0.31382570917454644
2010-05-26,1068.0,1075.5,1090.8,1065.6,,-0.56,-0.005586592178770999,-0.26608026388125194,0.2944668539861074,-0.31765908510094554
2010-05-27,1103.1,1074.3,1103.5,1074.3,,3.29,0.03286516853932575,-0.24195986805937186,0.3201672742207387,-0.2952338359315104
2010-05-28,1089.4,1102.6,1102.6,1084.8,,-1.24,-0.012419544918864878,-0.2513743815283107,0.3158250392277511,-0.3039867109634551
2010-06-01,1070.7,1087.3,1094.8,1069.9,,-1.72,-0.017165412153479,-0.2642248488180303,0.31607356616329346,-0.3159340659340659
2010-06-02,1098.4,1073.0,1098.6,1072.0,,2.59,0.025870925562716085,-0.24518966465090541,0.3279753280669365,-0.29823664707385633
2010-06-03,1102.8,1098.8,1105.7,1091.8,,0.4,0.004005826656955369,-0.24216602528861864,0.3209343299509449,-0.29542550472783036
2010-06-04,1064.9,1098.4,1098.4,1060.5,,-3.44,-0.03436706565106984,-0.26821055525013593,0.33902353989576683,-0.31963966266291843
