,값
분석 시작일,2010-01-04 00:00:00
분석 종료일,2019-11-14 00:00:00
분석 거래일 수,2485
시작 종가,1133.0
종료 종가,3096.6
전체 누적수익률(%),112.79549202858807
연환산 수익률(%),10.736299375306935
연환산 변동성(%),14.84019750513556
최대 낙폭(%),-34.666496294403274
상승일 비율(%),54.4466800804829
